filename,faceId,gender,age,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,smile,faceRectangleTop,faceRectangleLeft,faceRectangleWidth,faceRectangleHeight,pupilLeft.x,pupilLeft.y,pupilRight.x,pupilRight.y,noseTip.x,noseTip.y,mouthLeft.x,mouthLeft.y,mouthRight.x,mouthRight.y,eyebrowLeftOuter.x,eyebrowLeftOuter.y,eyebrowLeftInner.x,eyebrowLeftInner.y,eyeLeftOuter.x,eyeLeftOuter.y,eyeLeftTop.x,eyeLeftTop.y,eyeLeftBottom.x,eyeLeftBottom.y,eyeLeftInner.x,eyeLeftInner.y,eyebrowRightInner.x,eyebrowRightInner.y,eyebrowRightOuter.x,eyebrowRightOuter.y,eyeRightInner.x,eyeRightInner.y,eyeRightTop.x,eyeRightTop.y,eyeRightBottom.x,eyeRightBottom.y,eyeRightOuter.x,eyeRightOuter.y,noseRootLeft.x,noseRootLeft.y,noseRootRight.x,noseRootRight.y,noseLeftAlarTop.x,noseLeftAlarTop.y,noseRightAlarTop.x,noseRightAlarTop.y,noseLeftAlarOutTip.x,noseLeftAlarOutTip.y,noseRightAlarOutTip.x,noseRightAlarOutTip.y,upperLipTop.x,upperLipTop.y,upperLipBottom.x,upperLipBottom.y,underLipTop.x,underLipTop.y,underLipBottom.x,underLipBottom.y
16041-S_20131127_1310_05.mp4-16145.jpg,e2497289-b114-4733-8c90-074ce511ac94,male,18,0,0.001,0,0,0,0.564,0,0.435,0,172,167,79,79,191.2,193.3,223.8,191.8,204.4,210.4,194.3,233.5,218.5,233.2,178.5,184.5,197.9,182.5,185.8,193.8,190.6,191.6,190.8,194.7,196.6,192.9,213,181.5,237.2,181.1,218.5,191.8,223.8,189.8,224,193.7,229.4,191.9,201.4,193.1,212.1,192.8,198.9,205.8,212.5,205.7,195.3,213.8,216.4,212.7,205.3,226.1,205.4,230,205.3,234.9,205,241.3
16042-S_20131127_1310_05.mp4-17260.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16044-S_20131127_1310_05.mp4-20220.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16045-S_20131127_1310_05.mp4-21565.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16046-S_20131127_1310_05.mp4-22270.jpg,4c7b96fb-5c22-4514-b5eb-c6440fda62c0,female,18,0,0,0,0,0.001,0.963,0.001,0.035,0.001,187,99,70,70,117.5,205.4,145.7,204,131.1,221.8,125.3,240.5,147.9,239.5,108.1,193.9,122.9,194.9,112.9,205.6,117.2,203.8,117.2,207.6,121.5,206,136.4,193.3,157.6,191.4,141.9,204.8,146.7,201.9,147.3,206.1,151.5,203.7,126.4,206.5,135.4,205.7,125.6,218.5,138.5,217.4,124,224.3,141.9,223.5,134.3,234.4,134.6,239.6,135.3,242.3,135.4,247.7
16048-S_20131127_1310_05.mp4-25110.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16072-S_20131130_1313_01.mp4-455.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16082-S_20131130_1313_01.mp4-10225.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16097-S_20131130_1313_03.mp4-3965.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16107-S_20131130_1313_05.mp4-630.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16109-S_20131130_1313_05.mp4-5030.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16111-S_20131130_1313_05.mp4-9185.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16112-S_20131130_1313_05.mp4-10885.jpg,a175ee20-1aa0-4896-bf5e-29d251de92fa,male,16,0,0.001,0,0,0.001,0.968,0.001,0.029,0.001,157,392,75,75,410,179.7,444.1,178.2,432.4,194,415.8,214.2,445.8,212.8,395.5,173.7,419.4,170.9,404.9,180.6,410.5,177.8,410.6,181.6,416.7,180,434.8,169,456.3,169.3,439.3,178.5,445.3,176.6,445.4,180.2,450.9,178.6,424.4,179.5,434.1,178.8,423.6,191.2,438.7,190,420.4,196.8,442.5,196.6,431.8,209,431.7,212.3,431.4,214.3,431.4,218.3
16142-S_20131204_1317_01.mp4-2355.jpg,6ae59346-023b-4220-aa29-d4a22ce9eb0e,male,23,0,0.106,0.001,0.001,0.684,0.016,0,0.191,0.684,61,266,101,101,289,95.2,331.8,83.2,314.9,111.9,305.9,140,341.2,132.4,272.7,87,297.3,78.1,284,97.7,289.9,91.5,290.9,98.3,297.4,94.4,318.1,72.8,346.1,65.4,326.6,86.1,333.1,79.5,334.8,86.4,341,81.8,306.8,92.5,318.2,89.8,307.1,108.5,323.2,104.8,303.9,118.4,329.8,113.3,319.1,129,320.4,133.7,323.4,141.4,324.2,148.2
16149-S_20131204_1317_01.mp4-15885.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16167-S_20131204_1317_03.mp4-3080.jpg,724fad7a-518f-448c-a48c-77071c18b73d,female,20,0.002,0.016,0.033,0.204,0.001,0.343,0.095,0.307,0.001,24,304,153,153,335.6,76.2,401.7,57.6,386.3,102.2,364,143.5,417.2,130.6,302.6,66,352.2,48.9,326.8,80,336,72,338.2,81.4,347,74.9,381.6,39.9,426.6,31.6,392.5,61.1,401.7,52.5,405,63.1,413.2,55.9,362.6,71.7,380.6,66.6,368,95,395.7,87.5,365,111.8,404.4,99.7,393.2,129.8,394.8,136.9,397.3,141.3,400.8,151.5
16171-S_20131204_1317_03.mp4-9990.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
